"xSectMax","vimpelId","xSectAvg","name","diameter","depth","mass","span","cosparId","satno","height","width","xSectMin","shape","objectClass"
"0.0938083",,"0.08","Faraday Phoenix",NULL,"0.2","10","0.3","2021-059AX","48924.0","0.3","0.2","0.04","Box","Payload"
"4.41015",,"3.87594","AVUM (Vega)","2.1",NULL,"680","2.1","2018-066IA",,"1.3",NULL,"2.73","Cone + Cyl","Rocket Body"
"13.4764",,"12.2648","Delta II second stage (Delta 7420)","2.44",NULL,"919","5.18","2018-070IA",,"5.18",NULL,"4.67595","Cyl + Cone","Rocket Body"
"0.043589",,"0.035","Lemur-2 John-Treires",NULL,"0.1","4.6","0.3","2021-059AY","48925.0","0.3","0.1","0.01","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1066",NULL,"1.5","260","8.86","2020-001A","44914.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.043589",,"0.035","Lemur-2 AC-Cubed",NULL,"0.1","4.6","0.3","2021-059BA","48927.0","0.3","0.1","0.01","Box + 2 Pan","Payload"
"38.8864",,"35.1858","H-II LE-5B (H-IIB)","4",NULL,"3000","9.2","2018-073IA",,"9.2",NULL,"12.5664","Cyl","Rocket Body"
"23.657",,"13.5615","Starlink 3714",NULL,"1.5","260","8.86","2022-029G","52094.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"45.3806",,"39.98","Falcon 9 Merlin-V (1D+) (Falcon 9 v1.2)","3.66",NULL,"4300","15.95","2018-076IA",,"15.53",NULL,"10.5052","Cyl","Rocket Body"
"0.043589",,"0.035","Lemur-2 Merima",NULL,"0.1","4.6","0.3","2021-059BC","48929.0","0.3","0.1","0.01","Box + 2 Pan","Payload"
"13.4735",,"11.055","Fregat-MT (Soyuz-ST-B Fregat-MT)",NULL,"3.3","1050","3.3","2018-087IA",,"1.7","3.3","5.61","Irr","Rocket Body"
"0.595871",,"0.502655","SHERPA-LTE 1","0.8",NULL,"335","0.8","2021-059BQ","48941.0","0.4",NULL,"0.32","Cyl","Payload"
"23.657",,"13.5615","Starlink 1069",NULL,"1.5","260","8.86","2020-001B","44915.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.0938083",,"0.08","Tiger-2",NULL,"0.2","10","0.3","2021-059BT","48944.0","0.3","0.2","0.04","Box + 2 Pan","Payload"
"0.7854",,"0.76","Electron kick stage (Electron (Curie))","1.4",NULL,"55","1.4","2018-088IA",,"1",NULL,"0.25","Trunc Cone","Rocket Body"
"2.1324",,"1.79827","Gonets-M No. 28","0.8",NULL,"225","7","2020-068B","46487.0","1.6",NULL,"1.5721","Cyl + 1 Ant","Payload"
"0.0938083",,"0.08","Arthur",NULL,"0.2","20","0.3","2021-059CC","48953.0","0.3","0.2","0.04","Box","Payload"
"0.595871",,"0.502655","SHERPA-FX 2","0.8",NULL,"295","0.8","2021-059CH","48958.0","0.4",NULL,"0.32","Cyl","Payload"
"23.657",,"13.5615","Starlink 2748",NULL,"1.5","260","8.86","2021-044BJ","48694.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 2616",NULL,"1.5","260","8.86","2021-044BK","48695.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.043589",,"0.035","Lemur-2 CarlSantaMari",NULL,"0.1","4.6","0.3","2021-059CJ","48959.0","0.3","0.1","0.01","Box + 2 Pan","Payload"
"0.043589",,"0.035","Astrocast 0202",NULL,"0.1","5","0.3","2021-059CL","48961.0","0.3","0.1","0.01","Box","Payload"
"22.0851",,"19.6153","Progress MS-17","2.7",NULL,"7430","7.9","2021-057A","48869.0","7.9",NULL,"5.72555","Cyl + Sphere + Cone + 2 Pan","Payload"
"2.1324",,"1.79827","Gonets-M No. 29","0.8",NULL,"225","7","2020-068C","46488.0","1.6",NULL,"1.5721","Cyl + 1 Ant","Payload"
"23.657",,"13.5615","Starlink 3730",NULL,"1.5","260","8.86","2022-029BD","52139.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"23.657",,"13.5615","Starlink 3682",NULL,"1.5","260","8.86","2022-029BE","52140.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"161.075",,"81.3485","SXM-8",NULL,"5.6","7000","30","2021-049A","48838.0","5.2","5.6","29.12","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1082",NULL,"1.5","260","8.86","2020-001Q","44928.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"0.704561",,"0.58125","NuSat 20",NULL,"0.75","37","0.75","2021-059AU","48921.0","0.75","0.4","0.3","Box","Payload"
"0.704561",,"0.58125","NuSat 21",NULL,"0.75","37","0.75","2021-059AT","48920.0","0.75","0.4","0.3","Box","Payload"
"24.8003",,"14.304","Meridian-M No. 20L",NULL,"2","2000","10","2022-030A","52145.0","4","2","4","Box + 2 Pan","Payload"
"23.657",,"13.5615","Starlink 1083",NULL,"1.5","260","8.86","2020-001R","44929.0","0.1","3.7","0.2311","Box + 1 Pan","Payload"
"10.1459",,"8.35369","Fregat (Soyuz-2-1A Fregat)","3.35",NULL,"1000","3.35","2022-030B","52146.0","1.5",NULL,"5.025","Cyl","Rocket Body"
